republican,incumbent,marriage_perception,marriage_opinion,religexempt_perception,religexempt_opinion,gunsbanassault_perception,gunsbanassault_opinion
1,1,10,54,40,44,,54
1,0,20,53,80,48,20,50
0,0,50,57,50,46,,52
0,0,51,46,49,53,,50
0,1,50,84,50,23,75,83
1,0,40,61,60,38,,59
0,1,80,71,30,32,50,68
0,0,65,50,30,44,,58
1,0,50,65,15,36,35,62
0,0,40,60,80,38,50,66
0,0,60,49,60,49,,55
0,1,75,87,15,26,,84
0,0,85,74,25,35,95,68
1,1,65,60,35,39,,58
0,0,54,61,40,41,60,66
0,0,70,60,25,33,,68
1,0,40,41,90,49,,55
0,0,55,56,35,42,,56
0,0,70,71,40,34,,68
0,0,70,50,50,49,,47
0,0,55,65,30,37,,62
0,0,10,63,90,38,10,62
0,1,55,50,45,45,,58
0,0,60,67,45,37,,71
1,0,30,57,40,36,15,58
0,0,40,56,30,43,30,59
