vvweight_post,person_of_color,college,female,medicare_expand,vote_wait,votereg_problem
2.0322789,1,1,1,1,,0
.5166607,0,1,1,1,,0
1.2135895,1,0,1,1,0,0
.65245067,0,1,0,1,,0
1.1168574,1,1,0,1,,0
.63021334,0,1,0,1,,0
1.2120942,0,0,0,0,,0
.72030991,0,0,1,0,5,0
1.1809837,0,1,1,1,,0
.75571921,0,1,1,1,,0
.59877134,0,1,1,1,0,0
.42375259,0,1,0,0,,0
.94574468,0,1,0,1,,0
.80772987,0,1,0,1,,0
.38050002,0,1,0,1,45,0
.63021334,0,1,0,1,,0
.56690834,0,1,1,1,,0
.28318481,0,1,1,1,,0
1.2839511,0,1,1,1,,0
.40997593,0,1,1,1,,0
1.2491446,0,1,1,0,,0
.58624736,0,1,0,1,,0
.53317171,0,0,0,1,,0
1.1717243,1,1,1,1,15,0
.41060811,0,1,0,1,,0
9.942376,0,0,0,1,,0
.24333136,0,0,1,1,,0
1.2141682,0,1,1,0,,0
2.431568,0,1,1,1,,0
.69117043,0,1,0,1,,0
.40664246,0,0,1,1,,0
.69454468,0,0,1,0,,1
.61762778,1,1,1,1,,0
.3770186,0,1,0,1,,0
1.1973658,0,1,1,0,,0
.41384514,0,1,0,1,,0
.61458639,0,0,0,1,,0
.53707092,1,1,0,1,,0
.70973675,0,1,0,1,,0
.49835534,0,0,1,1,,0
1.0505341,0,1,0,1,,0
.25681031,0,0,0,1,,0
.40789972,0,0,0,1,,0
.45183322,0,1,1,1,,0
.53141739,0,0,1,1,,0
.65661177,0,1,1,0,,0
.96998803,1,1,0,1,,0
.95128858,0,0,0,1,,0
1.3902768,0,1,1,1,,0
.78834271,0,0,1,1,5,0
.73045652,0,1,0,1,,0
.55895685,0,0,1,1,,0
.81790017,0,0,0,1,,0
1.3757754,1,0,0,1,90,0
.42799581,1,1,1,0,,0
.4138981,0,0,0,0,,0
1.2120942,0,0,0,0,,0
.00012854,1,1,1,1,,0
6.0261782,1,0,1,1,,0
.67846376,0,1,1,0,0,0
.34527173,0,1,1,0,,0
.40916418,0,0,0,0,15,0
.56769172,0,0,1,1,,0
.65494264,0,0,1,1,,0
.25627378,1,1,1,1,,0
.32395666,0,0,0,1,0,0
.3415177,1,1,0,1,,0
3.2164993,1,0,1,1,,0
.51551446,1,1,0,1,,0
.55895685,0,0,1,1,,0
1.9259403,1,0,1,1,,0
.24613022,0,1,0,1,,0
.3003461,1,1,0,1,,0
.91372771,0,1,0,1,,0
1.5729808,1,1,0,0,,0
.61149259,0,1,0,1,,0
.55452884,0,1,0,1,,0
.64380451,0,0,1,1,,0
.45183322,0,1,1,1,15,0
.20837921,0,1,0,1,,0
.4234671,0,0,1,0,,0
.56683747,0,0,1,1,0,0
.30430932,1,0,1,1,,0
.39803407,0,1,0,1,,0
1.2021327,1,1,1,1,,0
.8021312,0,0,1,1,,0
.40122905,0,0,1,1,15,0
7.2696931,1,0,1,1,,0
1.3374454,0,1,1,1,,0
.28009297,0,1,1,1,15,0
.73474384,0,0,1,1,,0
.51252155,0,0,1,1,,0
.93767542,0,1,0,1,,0
.41594217,0,0,1,1,,0
1.3023835,0,1,1,1,15,0
15.000001,1,0,0,1,,0
.43223484,1,1,1,0,45,0
.52221412,0,0,1,1,,0
.55107562,1,1,0,0,,0
.39635637,0,1,0,1,,0
1.0071723,0,0,1,0,,0
.89088719,0,0,1,1,,0
.87798811,0,1,0,1,,0
.33222177,1,1,1,1,90,0
.18423473,1,1,1,1,0,0
.68419269,0,0,1,1,5,0
.65856969,1,1,1,0,,0
.39134523,1,0,1,1,5,0
.55895685,0,0,1,0,,0
.87648993,0,1,1,1,,0
.62121749,0,0,0,1,,0
.30467014,0,1,1,1,,0
.37345103,0,0,0,1,,0
.39012575,1,0,1,1,,0
1.2120942,0,0,0,0,,0
.69832162,0,0,1,1,,0
1.2241234,0,0,1,1,,0
.42293161,0,0,1,0,,0
1.0840191,1,0,0,1,0,0
.85567851,0,0,0,1,,0
1.1031853,1,1,1,1,,0
